station lon lat t_c vp vs rho_c ETOPO ETOPO_filt_30km tl long_lam_grav
T03_SOR_Vp -83.018 22.783 27 6.13490185185 NaN 2.91186927846 0.219577149211 0.172006191659 138.325985791 1.050099268
ID11272 58.69 38.23 45.6 6.48452741228 NaN 2.96603955027 0.0969402879157 0.102977802892 157.294294813 -17.1195060968
ID11266 53.59 40.31 52 6.49290865385 NaN 2.93961737667 0.16766700437 0.16897505149 234.491984798 -49.2317735439
ID9576p 35.13 30.08 33 6.10139545455 NaN 2.74428289259 0.189378243581 0.258224197584 39.6732080222 42.2698703332
ID12795p -94.21 51.18 42 6.52378571429 NaN 2.90848768943 0.389058159008 0.397296922993 218.529272236 -38.1075756465
ID17240p 101.22 0.36 27.45 6.51949908925 NaN 2.84651914389 0.0222239359175 0.0372503776445 75.4382688596 61.6638087251
ID12412p -85.39 35.06 45.7 6.54610284464 NaN 2.9327279908 0.407438714184 0.357581314678 193.643431056 -11.6046508307
ID11267 53.69 39.91 45.7 6.42935776805 NaN 2.92450100071 -0.0227457920073 -0.0186229573767 234.582467361 -51.1475080023
ID11273 58.69 38.23 43.9 6.34043052392 NaN 2.94724268326 0.0969402879157 0.102977802892 157.294294813 -17.1195060968
ID11271 58.69 38.23 45.6 6.52985635965 NaN 2.98667593355 0.0969402879157 0.102977802892 157.294294813 -17.1195060968
ID12832p -104.68 53.59 44.6 6.51577914798 NaN 2.92174796534 0.453993475628 0.458509399567 177.736922185 -29.0141257461
ID12799p -115.35 62.83 38 6.32439210526 NaN 2.81209721569 0.163800004125 0.162864007592 189.05810815 -62.6972580842
ID12798p -115.14 62.73 40 6.4682025 NaN 2.87610520538 0.162877442186 0.165034261703 189.439753707 -63.361144847
ID12833p -103.93 52.9 46.6 6.24697317597 NaN 2.83245415907 0.433007987976 0.432303754568 177.536592531 -24.3102021027
ID9577p 35.06 29.97 32 6.1033078125 NaN 2.75094391563 0.140029182194 0.264552624304 40.1294634029 41.8471055114
